Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,Model_3056,COMPACT,2.7,8,A,N,8.3,6.4,7.4,32.0,167
GM,Model_3057,FULL-SIZE,5.7,4,AV,X,15.4,12.0,13.9,17.0,320
Mercedes,Model_3058,COMPACT,2.0,6,AV,N,5.7,4.4,5.1,46.0,120
Ford,Model_3059,SUV - SMALL,4.6,4,AM,E,16.5,12.9,14.9,16.0,339
Hyundai,Model_3060,COMPACT,4.2,8,M,D,11.5,9.0,10.4,23.0,278
VW,Model_3061,COMPACT,1.0,4,AS,X,4.0,3.0,3.5,67.0,89
BMW,Model_3062,FULL-SIZE,1.2,4,A,E,5.1,4.0,4.6,51.0,110
Toyota,Model_3063,STATION WAGON,4.1,4,AS,X,11.3,8.8,10.2,23.0,239
Hyundai,Model_3064,SUV - STANDARD,1.4,8,AV,D,4.5,3.5,4.1,57.0,109
GM,Model_3065,MINIVAN,5.9,8,M,D,15.4,12.0,13.9,17.0,372
Hyundai,Model_3066,SUV - STANDARD,5.0,4,AV,E,17.2,13.4,15.5,15.0,357
VW,Model_3067,COMPACT,4.3,6,M,X,12.3,9.6,11.1,21.0,257
BMW,Model_3068,PICKUP TRUCK,4.7,4,A,E,18.7,14.6,16.8,14.0,390
Honda,Model_3069,PICKUP TRUCK,5.9,4,A,Z,14.4,11.3,13.0,18.0,303
Mercedes,Model_3070,COMPACT,4.2,8,AS,D,11.8,9.2,10.7,22.0,289
VW,Model_3071,PICKUP TRUCK,5.3,6,AM,Z,13.7,10.7,12.3,19.0,274
Toyota,Model_3072,SUV - SMALL,4.6,8,M,D,11.7,9.1,10.5,22.0,282
VW,Model_3073,TWO-SEATER,2.5,8,AV,D,7.6,5.9,6.8,35.0,177
Ford,Model_3074,FULL-SIZE,5.5,6,M,X,15.7,12.3,14.2,17.0,332
GM,Model_3075,MID-SIZE,6.1,8,AM,Z,16.9,13.2,15.2,15.0,353
VW,Model_3076,COMPACT,5.4,3,M,X,14.0,10.9,12.6,19.0,292
Mercedes,Model_3077,TWO-SEATER,3.7,4,AV,N,8.8,6.9,7.9,30.0,184
BMW,Model_3078,COMPACT,4.1,6,AS,X,12.3,9.6,11.1,21.0,252
Mercedes,Model_3079,COMPACT,6.0,4,A,X,17.1,13.4,15.4,15.0,353
BMW,Model_3080,SUV - STANDARD,3.8,4,AM,E,13.8,10.8,12.4,19.0,282
GM,Model_3081,MINIVAN,2.4,12,AS,Z,9.2,7.2,8.3,28.0,186
GM,Model_3082,TWO-SEATER,3.4,6,AV,Z,9.5,7.4,8.6,27.0,193
VW,Model_3083,MID-SIZE,2.0,4,M,X,5.5,4.3,4.9,48.0,118
Toyota,Model_3084,STATION WAGON,6.1,4,A,X,16.0,12.5,14.5,16.0,329
Honda,Model_3085,SUV - STANDARD,1.9,6,A,D,6.5,5.0,5.8,41.0,161
Mercedes,Model_3086,SUV - STANDARD,4.6,8,AV,X,14.9,11.6,13.4,18.0,307
GM,Model_3087,MID-SIZE,5.3,6,M,D,12.7,9.9,11.4,21.0,315
Mercedes,Model_3088,SUV - STANDARD,6.4,4,A,Z,16.0,12.5,14.4,16.0,333
GM,Model_3089,STATION WAGON,3.8,8,M,X,13.6,10.6,12.2,19.0,295
VW,Model_3090,SUV - STANDARD,5.2,4,AV,Z,13.6,10.6,12.2,19.0,279
BMW,Model_3091,STATION WAGON,3.1,3,AS,E,11.7,9.2,10.6,22.0,257
GM,Model_3092,STATION WAGON,5.0,6,M,X,14.4,11.2,13.0,18.0,301
Honda,Model_3093,STATION WAGON,2.1,4,M,D,7.0,5.5,6.3,37.0,169
Toyota,Model_3094,STATION WAGON,5.1,6,A,Z,13.7,10.7,12.4,19.0,291
Toyota,Model_3095,SUV - STANDARD,5.3,4,AM,X,14.2,11.1,12.8,18.0,300
Honda,Model_3096,PICKUP TRUCK,1.5,4,AV,D,4.5,3.5,4.0,59.0,108
Hyundai,Model_3097,COMPACT,3.2,8,AV,X,12.5,9.8,11.3,21.0,264
Hyundai,Model_3098,PICKUP TRUCK,1.1,4,AS,Z,4.0,3.0,3.5,67.0,78
Mercedes,Model_3099,MID-SIZE,5.8,4,AV,X,15.8,12.3,14.2,17.0,326
Mercedes,Model_3100,MINIVAN,2.8,4,AS,D,6.3,4.9,5.7,41.0,155
Mercedes,Model_3101,FULL-SIZE,1.2,6,M,Z,5.0,3.9,4.5,52.0,96
Toyota,Model_3102,PICKUP TRUCK,3.1,4,AV,N,8.1,6.3,7.3,32.0,170
Toyota,Model_3103,COMPACT,4.5,4,AM,Z,12.9,10.1,11.6,20.0,273
Honda,Model_3104,PICKUP TRUCK,3.5,8,M,X,10.7,8.3,9.6,25.0,223
GM,Model_3105,SUV - STANDARD,6.0,6,AM,Z,16.1,12.6,14.5,16.0,336
Toyota,Model_3106,PICKUP TRUCK,6.0,4,A,Z,14.2,11.1,12.8,18.0,296
Hyundai,Model_3107,COMPACT,2.2,4,A,E,8.2,6.4,7.4,32.0,167
Hyundai,Model_3108,STATION WAGON,5.3,4,AM,Z,13.2,10.3,11.9,20.0,274
GM,Model_3109,SUV - STANDARD,3.4,12,AS,X,13.2,10.3,11.9,20.0,278
Toyota,Model_3110,MINIVAN,5.8,8,AM,X,15.5,12.1,14.0,17.0,323
VW,Model_3111,PICKUP TRUCK,2.5,8,AV,E,12.3,9.6,11.1,21.0,259
Mercedes,Model_3112,SUV - STANDARD,4.6,4,A,X,11.2,8.7,10.1,23.0,233
BMW,Model_3113,COMPACT,5.5,8,AM,Z,15.0,11.7,13.6,17.0,317
Ford,Model_3114,MID-SIZE,3.9,4,AS,D,8.7,6.8,7.9,30.0,216
VW,Model_3115,TWO-SEATER,2.0,6,A,X,6.0,4.7,5.4,44.0,128
BMW,Model_3116,SUV - SMALL,3.2,4,AS,X,9.4,7.3,8.4,28.0,189
Hyundai,Model_3117,SUV - STANDARD,3.6,3,AV,D,9.2,7.2,8.3,28.0,222
Ford,Model_3118,FULL-SIZE,3.2,6,A,X,9.1,7.1,8.2,29.0,184
VW,Model_3119,MID-SIZE,5.6,4,AV,D,12.7,9.9,11.4,21.0,297
Honda,Model_3120,PICKUP TRUCK,5.7,4,AS,X,15.8,12.4,14.3,16.0,333
Toyota,Model_3121,SUV - SMALL,1.3,4,AM,E,7.3,5.7,6.5,36.0,149
Honda,Model_3122,SUV - SMALL,4.9,8,A,X,15.9,12.4,14.3,16.0,333
Hyundai,Model_3123,TWO-SEATER,2.5,6,AV,N,5.2,4.1,4.7,50.0,112
VW,Model_3124,STATION WAGON,4.0,4,AS,E,12.9,10.1,11.7,20.0,276
Ford,Model_3125,PICKUP TRUCK,3.4,6,A,Z,10.0,7.8,9.1,26.0,207
Toyota,Model_3126,MINIVAN,1.1,8,AM,D,4.0,3.1,3.5,67.0,102
VW,Model_3127,MID-SIZE,3.5,6,A,X,12.2,9.5,11.0,21.0,247
VW,Model_3128,FULL-SIZE,2.4,6,A,Z,7.7,6.0,6.9,34.0,158
BMW,Model_3129,MID-SIZE,3.6,6,M,Z,10.5,8.2,9.5,25.0,219
Mercedes,Model_3130,MID-SIZE,3.9,4,AV,Z,10.0,7.8,9.0,26.0,215
Toyota,Model_3131,MID-SIZE,6.2,3,A,E,20.4,15.9,18.4,13.0,418
Mercedes,Model_3132,SUV - SMALL,3.4,12,AM,X,11.1,8.7,10.0,24.0,228
BMW,Model_3133,MINIVAN,1.1,8,AM,X,6.3,4.9,5.6,42.0,130
VW,Model_3134,PICKUP TRUCK,5.8,4,M,Z,13.9,10.8,12.5,19.0,296
Honda,Model_3135,MINIVAN,1.8,4,AV,D,4.0,3.0,3.5,67.0,90
BMW,Model_3136,TWO-SEATER,1.4,6,M,Z,5.0,3.9,4.5,52.0,102
Ford,Model_3137,TWO-SEATER,5.6,8,AV,X,16.9,13.2,15.2,15.0,343
VW,Model_3138,SUV - SMALL,1.1,6,A,X,4.0,3.0,3.5,67.0,83
Toyota,Model_3139,SUV - SMALL,5.9,4,AV,D,13.3,10.4,12.0,20.0,318
BMW,Model_3140,MINIVAN,3.8,4,AM,X,11.5,8.9,10.3,23.0,240
GM,Model_3141,MINIVAN,3.9,4,AM,X,10.3,8.0,9.3,25.0,219
GM,Model_3142,TWO-SEATER,3.6,8,AM,X,10.9,8.5,9.8,24.0,231
Hyundai,Model_3143,TWO-SEATER,6.2,8,M,Z,16.8,13.1,15.2,15.0,346
GM,Model_3144,SUV - SMALL,1.4,4,M,X,4.9,3.8,4.4,53.0,106
VW,Model_3145,FULL-SIZE,3.9,4,AS,N,10.9,8.5,9.8,24.0,223
Mercedes,Model_3146,MINIVAN,5.3,6,AM,X,15.1,11.8,13.6,17.0,310
GM,Model_3147,PICKUP TRUCK,1.7,6,AS,X,6.5,5.1,5.9,40.0,125
Mercedes,Model_3148,FULL-SIZE,2.8,6,AS,E,10.5,8.2,9.4,25.0,225
BMW,Model_3149,SUV - SMALL,2.8,4,AS,X,9.0,7.0,8.1,29.0,194
Honda,Model_3150,MID-SIZE,4.2,8,AV,Z,12.3,9.6,11.1,21.0,260
Honda,Model_3151,MINIVAN,5.5,8,AM,X,16.0,12.4,14.4,16.0,322
Ford,Model_3152,COMPACT,1.9,4,A,Z,5.2,4.0,4.7,50.0,99
BMW,Model_3153,FULL-SIZE,1.5,4,A,X,4.6,3.6,4.2,56.0,98
GM,Model_3154,MINIVAN,2.1,4,AS,X,5.9,4.6,5.3,44.0,126
Toyota,Model_3155,MID-SIZE,6.0,4,A,Z,14.6,11.4,13.1,18.0,299
Toyota,Model_3156,SUV - STANDARD,4.6,4,AM,Z,11.7,9.1,10.5,22.0,243
Toyota,Model_3157,SUV - STANDARD,3.0,6,M,X,10.4,8.1,9.3,25.0,221
Mercedes,Model_3158,MID-SIZE,6.3,4,AS,E,20.7,16.2,18.7,13.0,435
GM,Model_3159,MID-SIZE,6.4,4,AM,Z,17.0,13.3,15.3,15.0,351
VW,Model_3160,MID-SIZE,3.6,8,AM,Z,10.5,8.2,9.5,25.0,224
Honda,Model_3161,PICKUP TRUCK,4.2,8,M,Z,13.1,10.2,11.8,20.0,273
BMW,Model_3162,FULL-SIZE,6.2,8,M,X,18.5,14.5,16.7,14.0,382
VW,Model_3163,SUV - SMALL,2.8,8,AS,D,8.4,6.5,7.5,31.0,199
GM,Model_3164,COMPACT,1.7,4,A,X,6.4,5.0,5.8,41.0,129
Honda,Model_3165,COMPACT,3.8,4,M,Z,10.8,8.4,9.7,24.0,224
BMW,Model_3166,TWO-SEATER,2.8,3,A,E,9.3,7.3,8.4,28.0,189
Hyundai,Model_3167,SUV - SMALL,5.8,4,AV,X,15.1,11.8,13.6,17.0,313
VW,Model_3168,SUV - STANDARD,1.1,4,AV,N,4.0,3.0,3.5,67.0,71
Hyundai,Model_3169,MID-SIZE,1.3,4,AM,Z,4.5,3.5,4.0,59.0,86
GM,Model_3170,PICKUP TRUCK,3.8,4,AV,Z,9.3,7.2,8.4,28.0,193
Hyundai,Model_3171,MID-SIZE,6.0,4,AV,D,14.0,10.9,12.6,19.0,340
VW,Model_3172,STATION WAGON,5.7,4,AM,E,18.9,14.8,17.1,14.0,391
GM,Model_3173,COMPACT,2.3,6,AV,Z,6.6,5.2,6.0,39.0,137
BMW,Model_3174,TWO-SEATER,6.2,4,M,E,20.0,15.6,18.0,13.0,413
Toyota,Model_3175,COMPACT,6.1,6,AS,Z,16.4,12.8,14.8,16.0,348
Mercedes,Model_3176,FULL-SIZE,4.1,6,AM,Z,11.5,9.0,10.4,23.0,243
Toyota,Model_3177,MID-SIZE,4.0,4,A,Z,10.1,7.9,9.1,26.0,213
Ford,Model_3178,COMPACT,6.2,4,AV,Z,16.2,12.7,14.6,16.0,343
Hyundai,Model_3179,SUV - SMALL,1.6,4,M,X,4.2,3.2,3.8,62.0,80
Toyota,Model_3180,PICKUP TRUCK,6.3,12,M,D,17.4,13.6,15.7,15.0,428
BMW,Model_3181,SUV - SMALL,4.6,12,AM,E,20.1,15.7,18.1,13.0,421
Hyundai,Model_3182,TWO-SEATER,2.0,4,AV,X,7.0,5.4,6.3,37.0,148
Mercedes,Model_3183,FULL-SIZE,2.2,4,AM,X,7.5,5.9,6.8,35.0,152
VW,Model_3184,MINIVAN,4.9,8,AM,Z,14.4,11.3,13.0,18.0,295
Hyundai,Model_3185,STATION WAGON,4.1,4,M,D,9.0,7.1,8.1,29.0,213
VW,Model_3186,COMPACT,6.1,6,AM,X,16.8,13.1,15.2,15.0,346
Ford,Model_3187,MINIVAN,2.9,4,A,E,11.7,9.1,10.5,22.0,244
Ford,Model_3188,SUV - SMALL,5.8,4,AS,Z,14.1,11.0,12.7,19.0,298
Honda,Model_3189,COMPACT,5.4,6,AV,Z,14.6,11.4,13.2,18.0,304
Mercedes,Model_3190,SUV - STANDARD,5.8,6,AV,Z,14.7,11.5,13.3,18.0,308
GM,Model_3191,TWO-SEATER,3.2,6,AM,Z,9.0,7.0,8.1,29.0,188
BMW,Model_3192,STATION WAGON,4.6,4,AV,X,12.0,9.4,10.9,22.0,258
Toyota,Model_3193,MINIVAN,3.0,4,AM,Z,6.6,5.2,6.0,39.0,141
BMW,Model_3194,SUV - STANDARD,3.8,4,AS,Z,9.8,7.6,8.8,27.0,209
Toyota,Model_3195,FULL-SIZE,4.9,6,AV,E,17.7,13.8,16.0,15.0,365
Mercedes,Model_3196,SUV - SMALL,6.4,6,A,D,14.5,11.3,13.1,18.0,349
Hyundai,Model_3197,SUV - STANDARD,5.7,4,M,N,15.2,11.9,13.7,17.0,317
BMW,Model_3198,PICKUP TRUCK,3.0,4,AV,E,11.7,9.2,10.6,22.0,234
Mercedes,Model_3199,STATION WAGON,6.5,8,AM,E,25.0,19.7,22.0,11.0,513
Hyundai,Model_3200,TWO-SEATER,3.2,4,AS,Z,10.0,7.8,9.0,26.0,205
BMW,Model_3201,MINIVAN,3.3,4,AV,X,8.1,6.3,7.3,32.0,175
Hyundai,Model_3202,STATION WAGON,3.7,6,AV,X,10.8,8.4,9.8,24.0,225
BMW,Model_3203,SUV - STANDARD,6.1,8,AM,Z,17.7,13.8,16.0,15.0,367
GM,Model_3204,FULL-SIZE,4.5,4,M,Z,13.7,10.7,12.4,19.0,288
Toyota,Model_3205,TWO-SEATER,6.1,4,AS,D,12.5,9.7,11.2,21.0,299
Ford,Model_3206,MID-SIZE,5.1,4,AV,X,13.8,10.7,12.4,19.0,290
Mercedes,Model_3207,PICKUP TRUCK,3.9,6,AM,N,10.8,8.4,9.7,24.0,221
Hyundai,Model_3208,SUV - STANDARD,5.3,8,A,X,15.4,12.0,13.8,17.0,320
BMW,Model_3209,PICKUP TRUCK,4.5,6,AM,D,12.2,9.5,11.0,21.0,291
Toyota,Model_3210,SUV - SMALL,2.8,4,AM,X,8.5,6.7,7.7,31.0,178
Hyundai,Model_3211,COMPACT,4.6,4,AS,X,13.9,10.8,12.5,19.0,293
Ford,Model_3212,COMPACT,1.1,4,M,Z,4.3,3.3,3.9,60.0,84
GM,Model_3213,PICKUP TRUCK,2.6,8,AV,X,8.7,6.8,7.9,30.0,172
Hyundai,Model_3214,SUV - STANDARD,4.3,4,A,X,12.6,9.8,11.3,21.0,267
GM,Model_3215,SUV - STANDARD,2.4,6,AV,X,7.0,5.5,6.3,37.0,146
Hyundai,Model_3216,STATION WAGON,3.9,3,M,X,9.0,7.1,8.1,29.0,186
GM,Model_3217,MINIVAN,3.9,8,A,X,12.3,9.6,11.1,21.0,248
BMW,Model_3218,MID-SIZE,5.1,8,A,X,13.6,10.6,12.2,19.0,281
GM,Model_3219,SUV - STANDARD,5.6,4,A,D,12.0,9.4,10.8,22.0,284
Ford,Model_3220,TWO-SEATER,2.9,4,AS,X,8.8,6.9,8.0,29.0,185
Hyundai,Model_3221,SUV - SMALL,5.3,4,M,Z,14.1,11.0,12.7,19.0,292
BMW,Model_3222,COMPACT,6.4,4,A,D,14.0,10.9,12.6,19.0,340
GM,Model_3223,FULL-SIZE,4.9,4,AV,E,17.4,13.6,15.7,15.0,361
Ford,Model_3224,SUV - SMALL,5.4,8,AM,Z,16.1,12.6,14.5,16.0,332
Toyota,Model_3225,MINIVAN,6.3,6,A,X,18.6,14.5,16.7,14.0,389
Honda,Model_3226,TWO-SEATER,5.4,6,A,Z,15.2,11.9,13.7,17.0,317
Hyundai,Model_3227,STATION WAGON,6.4,8,M,Z,17.7,13.8,15.9,15.0,370
Mercedes,Model_3228,STATION WAGON,1.2,6,M,X,4.0,3.0,3.5,67.0,84
Hyundai,Model_3229,FULL-SIZE,3.7,4,M,Z,10.5,8.2,9.5,25.0,229
GM,Model_3230,STATION WAGON,5.8,4,AV,X,15.3,11.9,13.8,17.0,324
Ford,Model_3231,SUV - STANDARD,3.5,4,AM,Z,9.0,7.0,8.1,29.0,182
Ford,Model_3232,SUV - STANDARD,4.8,8,AM,Z,13.7,10.7,12.4,19.0,283
VW,Model_3233,TWO-SEATER,1.5,4,A,Z,5.6,4.4,5.1,46.0,119
Ford,Model_3234,MINIVAN,1.2,4,A,X,4.2,3.3,3.8,62.0,88
GM,Model_3235,TWO-SEATER,4.0,8,A,X,12.2,9.5,11.0,21.0,255
Ford,Model_3236,COMPACT,3.0,4,AV,D,9.0,7.0,8.1,29.0,207
Mercedes,Model_3237,TWO-SEATER,1.5,6,AV,X,5.1,4.0,4.6,51.0,102
VW,Model_3238,FULL-SIZE,6.4,8,AM,Z,15.9,12.4,14.3,16.0,336
Honda,Model_3239,MID-SIZE,1.4,6,M,X,5.5,4.3,5.0,47.0,110
GM,Model_3240,PICKUP TRUCK,4.6,6,M,Z,13.3,10.4,12.0,20.0,282
VW,Model_3241,PICKUP TRUCK,1.7,4,AM,D,5.0,3.9,4.5,52.0,107
Honda,Model_3242,SUV - SMALL,3.4,4,AV,E,11.3,8.8,10.2,23.0,235
GM,Model_3243,SUV - SMALL,4.8,6,AV,X,13.9,10.9,12.5,19.0,288
Mercedes,Model_3244,FULL-SIZE,2.3,4,A,Z,6.5,5.0,5.8,41.0,132
BMW,Model_3245,MID-SIZE,3.3,6,AM,N,10.1,7.9,9.1,26.0,208
Honda,Model_3246,FULL-SIZE,3.8,3,AV,Z,8.7,6.8,7.8,30.0,179
Mercedes,Model_3247,MINIVAN,3.9,6,M,X,11.1,8.7,10.0,24.0,235
Hyundai,Model_3248,MINIVAN,3.7,4,A,E,13.3,10.4,12.0,20.0,276
Mercedes,Model_3249,TWO-SEATER,1.8,8,AM,X,6.5,5.1,5.9,40.0,135
VW,Model_3250,MINIVAN,4.5,4,AS,D,10.6,8.2,9.5,25.0,257
Mercedes,Model_3251,TWO-SEATER,1.0,4,AS,Z,4.0,3.0,3.5,67.0,80
Toyota,Model_3252,MID-SIZE,6.4,6,AV,E,23.7,18.5,21.3,11.0,489
Toyota,Model_3253,STATION WAGON,6.2,8,M,Z,15.6,12.2,14.1,17.0,328
BMW,Model_3254,COMPACT,4.5,8,AS,D,11.8,9.2,10.6,22.0,280
BMW,Model_3255,COMPACT,5.5,4,A,X,15.3,11.9,13.8,17.0,322
Ford,Model_3256,COMPACT,2.9,8,AV,X,9.8,7.6,8.8,27.0,202
BMW,Model_3257,SUV - SMALL,2.9,6,AV,X,8.9,6.9,8.0,29.0,180
Hyundai,Model_3258,STATION WAGON,3.2,6,AV,Z,8.7,6.8,7.8,30.0,171
GM,Model_3259,SUV - SMALL,5.2,4,AS,X,13.2,10.3,11.9,20.0,285
Hyundai,Model_3260,COMPACT,3.3,4,AV,Z,9.6,7.5,8.6,27.0,191
BMW,Model_3261,FULL-SIZE,4.1,4,A,X,11.8,9.2,10.6,22.0,244
BMW,Model_3262,STATION WAGON,5.4,6,AV,Z,14.1,11.0,12.7,19.0,292
Honda,Model_3263,MID-SIZE,1.9,4,AM,Z,4.7,3.7,4.3,55.0,94
Honda,Model_3264,TWO-SEATER,2.1,6,AV,X,7.7,6.0,6.9,34.0,164
Ford,Model_3265,SUV - STANDARD,5.7,3,AM,Z,14.8,11.5,13.3,18.0,309
Ford,Model_3266,SUV - SMALL,1.4,4,AS,X,6.1,4.8,5.5,43.0,120
GM,Model_3267,TWO-SEATER,5.0,4,AS,X,12.5,9.8,11.3,21.0,262
VW,Model_3268,SUV - SMALL,3.2,8,AV,X,11.4,8.9,10.3,23.0,247
Mercedes,Model_3269,TWO-SEATER,5.7,6,AM,D,13.5,10.5,12.2,19.0,334
Mercedes,Model_3270,STATION WAGON,4.2,4,AV,D,9.0,7.0,8.1,29.0,218
BMW,Model_3271,FULL-SIZE,4.7,8,AS,X,14.7,11.5,13.3,18.0,309
Ford,Model_3272,MID-SIZE,2.9,4,AS,X,8.0,6.3,7.2,33.0,168
Toyota,Model_3273,FULL-SIZE,2.9,4,AV,D,8.5,6.6,7.6,31.0,193
Ford,Model_3274,MID-SIZE,5.3,8,AM,X,15.3,12.0,13.8,17.0,315
GM,Model_3275,SUV - SMALL,6.4,3,M,X,16.3,12.7,14.7,16.0,349
BMW,Model_3276,COMPACT,4.1,4,AM,E,14.9,11.6,13.4,18.0,310
Ford,Model_3277,COMPACT,5.3,4,M,E,16.2,12.7,14.6,16.0,332
GM,Model_3278,FULL-SIZE,6.3,12,A,Z,18.3,14.3,16.5,14.0,379
Honda,Model_3279,FULL-SIZE,1.4,4,AM,D,4.0,3.1,3.6,65.0,94
VW,Model_3280,STATION WAGON,1.6,4,A,X,5.7,4.5,5.1,46.0,121
GM,Model_3281,MID-SIZE,5.1,8,A,X,15.4,12.0,13.9,17.0,324
BMW,Model_3282,STATION WAGON,2.2,8,AM,X,7.8,6.1,7.1,33.0,168
Toyota,Model_3283,TWO-SEATER,3.9,4,A,E,16.2,12.6,14.6,16.0,330
GM,Model_3284,SUV - SMALL,4.1,3,M,X,11.4,8.9,10.3,23.0,236
Honda,Model_3285,MID-SIZE,1.1,8,M,E,6.0,4.7,5.4,44.0,124
Mercedes,Model_3286,MID-SIZE,5.7,6,M,N,14.0,10.9,12.6,19.0,294
VW,Model_3287,STATION WAGON,3.3,8,AM,N,8.7,6.8,7.8,30.0,180
Hyundai,Model_3288,TWO-SEATER,2.6,3,M,X,7.2,5.6,6.5,36.0,152
GM,Model_3289,TWO-SEATER,5.1,3,AV,X,12.9,10.0,11.6,20.0,270
Hyundai,Model_3290,COMPACT,5.9,4,AM,Z,15.8,12.3,14.2,17.0,332
VW,Model_3291,TWO-SEATER,4.5,6,M,X,13.8,10.8,12.4,19.0,286
Mercedes,Model_3292,MINIVAN,2.8,3,AV,X,8.2,6.4,7.4,32.0,168
Hyundai,Model_3293,MINIVAN,1.2,4,AM,Z,4.0,3.0,3.5,67.0,75
Honda,Model_3294,TWO-SEATER,4.4,4,AS,X,12.6,9.8,11.4,21.0,266
Ford,Model_3295,MINIVAN,4.7,4,AM,Z,11.1,8.7,10.0,24.0,229
Hyundai,Model_3296,MID-SIZE,3.9,4,AV,Z,9.1,7.1,8.2,29.0,192
GM,Model_3297,STATION WAGON,3.7,8,AM,X,10.8,8.4,9.7,24.0,226
Hyundai,Model_3298,MINIVAN,1.3,4,AM,X,4.5,3.5,4.1,57.0,84
Mercedes,Model_3299,FULL-SIZE,3.6,6,AV,X,9.4,7.3,8.5,28.0,200
Toyota,Model_3300,COMPACT,5.0,4,M,X,15.4,12.0,13.9,17.0,325
GM,Model_3301,PICKUP TRUCK,4.9,6,M,D,10.9,8.5,9.9,24.0,267
Hyundai,Model_3302,PICKUP TRUCK,2.9,8,A,E,12.3,9.6,11.1,21.0,249
Mercedes,Model_3303,SUV - SMALL,2.2,4,AS,X,5.6,4.4,5.0,47.0,104
GM,Model_3304,PICKUP TRUCK,4.3,8,AM,X,13.0,10.1,11.7,20.0,270
BMW,Model_3305,MID-SIZE,1.4,4,AV,X,4.4,3.4,3.9,60.0,84
Toyota,Model_3306,TWO-SEATER,1.6,4,M,X,4.0,3.0,3.5,67.0,75
Honda,Model_3307,MINIVAN,5.7,6,AS,X,16.0,12.5,14.5,16.0,330
Toyota,Model_3308,FULL-SIZE,3.0,3,AV,D,6.2,4.8,5.6,42.0,142
Honda,Model_3309,STATION WAGON,4.0,8,AM,Z,11.2,8.8,10.1,23.0,237
BMW,Model_3310,FULL-SIZE,6.3,4,A,D,15.1,11.8,13.6,17.0,362
Mercedes,Model_3311,FULL-SIZE,3.5,3,AS,X,10.5,8.2,9.5,25.0,225
Mercedes,Model_3312,MINIVAN,6.5,4,AV,X,17.1,13.4,15.4,15.0,357
Mercedes,Model_3313,MID-SIZE,3.9,4,M,D,9.4,7.3,8.4,28.0,220
Hyundai,Model_3314,MINIVAN,4.0,4,A,X,11.9,9.3,10.8,22.0,255
Mercedes,Model_3315,SUV - SMALL,1.1,4,AV,Z,4.0,3.0,3.5,67.0,88
BMW,Model_3316,STATION WAGON,2.1,4,M,D,5.8,4.5,5.2,45.0,140
Honda,Model_3317,STATION WAGON,1.9,6,A,Z,5.4,4.2,4.9,48.0,119
Toyota,Model_3318,MINIVAN,6.3,6,AV,X,15.9,12.4,14.3,16.0,326
VW,Model_3319,SUV - STANDARD,6.3,8,AV,X,17.8,13.9,16.0,15.0,367
Honda,Model_3320,COMPACT,2.3,4,A,E,9.3,7.3,8.4,28.0,194
Toyota,Model_3321,SUV - STANDARD,2.7,12,AS,X,10.1,7.9,9.1,26.0,214
Ford,Model_3322,COMPACT,2.8,6,AM,X,9.5,7.4,8.5,28.0,191
VW,Model_3323,PICKUP TRUCK,3.6,6,A,X,11.7,9.1,10.5,22.0,245
Hyundai,Model_3324,STATION WAGON,6.3,4,AS,X,18.2,14.2,16.4,14.0,376
GM,Model_3325,MINIVAN,6.4,6,AV,Z,17.5,13.7,15.8,15.0,358
Honda,Model_3326,TWO-SEATER,1.5,4,AS,X,5.6,4.4,5.1,46.0,115
Hyundai,Model_3327,MINIVAN,2.7,3,M,N,7.3,5.7,6.6,36.0,145
Ford,Model_3328,SUV - SMALL,4.9,8,AS,N,13.5,10.6,12.2,19.0,283
Ford,Model_3329,TWO-SEATER,4.5,4,AV,Z,12.7,9.9,11.5,20.0,272
BMW,Model_3330,SUV - STANDARD,6.5,6,AV,Z,17.0,13.2,15.3,15.0,351
Ford,Model_3331,MID-SIZE,2.6,4,AM,X,8.1,6.3,7.3,32.0,163
Ford,Model_3332,SUV - STANDARD,2.4,6,A,D,6.1,4.8,5.5,43.0,148
Hyundai,Model_3333,STATION WAGON,2.3,4,AV,X,7.4,5.8,6.7,35.0,148
BMW,Model_3334,MINIVAN,6.4,8,AV,X,18.4,14.4,16.6,14.0,386
GM,Model_3335,FULL-SIZE,3.9,4,AM,E,13.4,10.4,12.0,20.0,281
Honda,Model_3336,TWO-SEATER,3.3,6,AM,X,11.3,8.8,10.1,23.0,227
Toyota,Model_3337,MINIVAN,6.4,8,AV,Z,16.3,12.7,14.7,16.0,332
Hyundai,Model_3338,COMPACT,2.0,4,AM,X,5.6,4.4,5.0,47.0,116
Toyota,Model_3339,FULL-SIZE,3.1,4,AV,X,8.7,6.8,7.8,30.0,174
GM,Model_3340,SUV - STANDARD,4.9,6,AS,X,13.8,10.7,12.4,19.0,293
Ford,Model_3341,MID-SIZE,3.1,6,AV,X,9.0,7.0,8.1,29.0,187
Mercedes,Model_3342,COMPACT,1.8,4,AV,D,5.2,4.0,4.7,50.0,125
Toyota,Model_3343,SUV - SMALL,1.8,6,AS,X,5.1,4.0,4.6,51.0,100
Mercedes,Model_3344,STATION WAGON,6.4,4,AS,N,16.2,12.7,14.6,16.0,339
VW,Model_3345,TWO-SEATER,2.8,6,AS,X,9.5,7.4,8.6,27.0,198
